Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 18 of 25,2.1519663333892822,-22,-6,-16,1,Left Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 18 of 25,3.011453866958618,-20,-6,-14,1,Left Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 19 of 25,2.967737913131714,22,-26,-4,1,Right Brainstem,Midbrain,,Med Geniculum Body
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 19 of 25,2.033520221710205,20,-26,-2,1,Right Cerebrum,Sub-lobar,Thalamus,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 19 of 25,2.033520221710205,20,-26,-2,1,Right Cerebrum,Sub-lobar,Thalamus,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 20 of 25,2.575829267501831,18,-92,2,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 17
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 20 of 25,2.085764169692993,16,-90,0,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 18
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 20 of 25,1.7369272708892822,16,-90,2,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 17
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 21 of 25,2.2292089462280273,28,-62,52,1,Right Cerebrum,Parietal Lobe,Sup Parietal Lob,Brodmann area 7
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 21 of 25,2.021771192550659,28,-62,50,1,Right Cerebrum,Parietal Lobe,Sup Parietal Lob,Brodmann area 7
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 21 of 25,2.191716194152832,28,-60,52,1,Right Cerebrum,Parietal Lobe,Sup Parietal Lob,Brodmann area 7
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 22 of 25,2.4421520233154297,-18,-28,-2,1,Left Cerebrum,Sub-lobar,Thalamus,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 22 of 25,2.3455309867858887,-16,-28,-2,1,Left Cerebrum,Sub-lobar,Thalamus,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 22 of 25,2.4421520233154297,-18,-28,-2,1,Left Cerebrum,Sub-lobar,Thalamus,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 23 of 25,2.3697524070739746,34,-88,8,1,Right Cerebrum,Occipital Lobe,Mid Occipital Gyr,Brodmann area 18
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 23 of 25,2.286928415298462,34,-90,8,1,Right Cerebrum,Occipital Lobe,Mid Occipital Gyr,Brodmann area 18
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 23 of 25,2.3697524070739746,34,-88,8,1,Right Cerebrum,Occipital Lobe,Mid Occipital Gyr,Brodmann area 18
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 24 of 25,2.1519663333892822,54,-56,28,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 24 of 25,2.1519663333892822,54,-56,28,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 24 of 25,2.1519663333892822,54,-56,28,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 25 of 25,2.021771192550659,52,-58,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 25 of 25,2.021771192550659,52,-58,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 25 of 25,2.021771192550659,52,-58,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
